content_id,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9192549002213400000.00,Elastic Stack 5.0.0 Released,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br","Hello, a nova rede social do Orkut, está liberada no Brasil",A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart
-9189659052158400000.00,Clean Coder Blog,Pull request first - Practical Blend,Beyond Progressive Web Apps Part 1,"""Eat, sleep, code, repeat"" is such bullshit - Signal v. Noise",Most Interesting APIs in 2016: Cognitive Computing
-9176143510534130000.00,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,Governo brasileiro cria manual para contratação de cloud,The barbell effect of machine learning.,Microsoft's Open Source Love Affair Reaches New Heights,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack"
-9160910454530520000.00,CSS Containment in Chrome 52 | Web Updates - Google Developers,A New Number Format for Computers Could Nuke Approximation Errors for Good,19 Tips For Everyday Git Use,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
-9128741757954220000.00,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Blaise Agüera y Arcas: How computers are learning to be creative
-9102431381393420000.00,4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Lean IT is all about people - o Lean na TI é focado em pessoas,Former Google career coach shares a visual trick for figuring out what to do with your life,Why Evernote Is Giving Up on Its Data Centers for Google Cloud
-9086955082453780000.00,Innovation is in all the wrong places,This Super Accurate Portrait Selection Tech Uses Neural Networks,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,"Telecoms open shop on Madison Avenue, but will brands buy?"
-9033211547111600000.00,Machine Learning Is No Longer Just for Experts,Spark comparison: AWS vs. GCP,Algorithms and architecture for job recommendations,Scala is the new golden child,"The ""Joel Test"" for Data Science"
-9028990334396390000.00,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Learn Hiragana: The Ultimate Guide
-9019582414165800000.00,Goodbye accountants! Startup builds AI to automate all your accounting,Governo define cronograma para plano nacional de Internet das Coisas,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Banking Needs a Customer Experience Wake-Up Call,Mobile banking conquista o coração dos brasileiros
-9019233957195910000.00,Clean Coder Blog,"Meet Mycroft, the open source AI who wants to rival Siri, Cortana, and Alexa | ZDNet",Alecrim/AlecrimCoreData,New MacBook Pro is not a Laptop for Developers Anymore,Anti-If: The missing patterns
-8992803137960170000.00,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-8992201526199200000.00,Aplicação de visão computacional com OpenCV,"HoloLens, da Microsoft, engana o usuário para consertar conexões falhas do cérebro",Acesse a versão Material Design do YouTube | Google Discovery,"Autofill: What web devs should know, but don't",Most Interesting APIs in 2016: Cognitive Computing
-8964534883296830000.00,New settings for 2-Step Verification,Artificial intelligence is changing SEO faster than you think,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",Google cloud boss Diane Greene: We're winning against AWS and Microsoft,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business
-8954346068661070000.00,Evernote anuncia integração com Google Drive | Google Discovery,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Testes unitários vs aceitação - Android Dev BR,The Ten Commandments of Egoless Programming,Revista PROGRAMAR nº 53 - Agosto de 2016
-8950763842769120000.00,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine",Mercado de Cosméticos no Brasil - Setor que não conhece crise!,"Don't Start Big, Start a Little Snowball"
-8949113594875410000.00,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem",Especial: O papel dos grandes provedores de TI na Rio 2016,Assessing Salesforce's platform and ecosystem | ZDNet,Resenha - A Chegada
-8948234514303930000.00,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi,1º Congresso Brasileiro de IoT - Embarcados,"Por dentro do MariaLab: A tecnologia é área para as mulheres, sim!",Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery
-8900113512825360000.00,Confused by blockchains? Revolution vs Evolution,Making open source data more available,The AI business landscape,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Goodbye accountants! Startup builds AI to automate all your accounting
-8854146354650100000.00,Here's proof that Google is getting serious about battling Facebook in a key area,Banking Needs a Customer Experience Wake-Up Call,The AI business landscape,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender
-8813724423497150000.00,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Nubank pode fechar as portas se BC confirmar mudança amanhã,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Confused by blockchains? Revolution vs Evolution
